ID	Type	RA	DECL	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	I	V	V_I	P	T0	A_1	A_2	Remarks
OGLE-LMC-ECL-02805	ELL	4.915489	-66.712639	-99.99	LMC131.5.16909	LMC533.21.17883	-99.99	19.592	19.729	0.137	0.55936380	7000.30290	0.512	0.260	
OGLE-LMC-ECL-02806	ELL	4.915519	-67.863944	-99.99	LMC133.4.2463	LMC532.20.30735	-99.99	19.061	19.832	0.771	5.49951470	7001.17620	0.356	0.121	
OGLE-LMC-ECL-02808	ELL	4.915583	-69.554778	-99.99	LMC135.1.7617	LMC531.11.92	-99.99	16.073	15.979	-0.094	9.23444090	7005.71270	0.294	0.096	
OGLE-LMC-ECL-02811	ELL	4.915694	-68.687639	-99.99	LMC134.2.28365	LMC532.03.24219	-99.99	17.940	18.088	0.148	2.15764380	7000.96890	0.237	0.084	
OGLE-LMC-ECL-02813	ELL	4.915856	-68.306500	-99.99	LMC133.1.1279	LMC532.11.26605	-99.99	17.904	18.546	0.642	29.75671050	7018.24120	0.569	0.270	
OGLE-LMC-ECL-02815	ELL	4.915989	-69.847139	-99.99	LMC136.2.16508	LMC531.03.4759	-99.99	17.547	17.695	0.148	1.34306170	7000.86630	0.422	0.200	
OGLE-LMC-ECL-02817	ELL	4.916067	-70.579611	-99.99	LMC129.7.210	LMC530.10.8687	-99.99	16.988	17.050	0.062	2.76809130	7000.52450	0.151	0.124	
OGLE-LMC-ECL-02825	ELL	4.916300	-68.750028	-99.99	LMC134.2.6645	LMC531.27.58749	-99.99	19.695	20.130	0.435	0.76092560	7000.73970	0.490	0.467	
OGLE-LMC-ECL-02829	ELL	4.916369	-70.414389	-99.99	LMC129.6.3399	LMC530.19.4320	-99.99	19.543	20.178	0.635	1.95301670	7001.07120	0.585	0.542	
OGLE-LMC-ECL-02830	ELL	4.916392	-68.857889	-99.99	LMC134.1.26848	-99.99	-99.99	17.543	18.066	0.523	1.39659960	7000.33480	0.204	0.080	
OGLE-LMC-ECL-02831	ELL	4.916408	-70.308000	-99.99	LMC129.6.636	LMC530.19.7770	-99.99	17.620	18.099	0.479	5.68660880	7003.21660	0.261	0.133	
OGLE-LMC-ECL-02836	ELL	4.916725	-67.498083	-99.99	-99.99	LMC532.28.32183	-99.99	17.665	18.374	0.709	4.25101210	7001.51860	0.212	0.062	
OGLE-LMC-ECL-02840	ELL	4.917014	-67.531639	-99.99	LMC132.2.2816	LMC532.28.28005	-99.99	19.088	19.304	0.216	4.95826050	7004.57330	0.765	0.259	
OGLE-LMC-ECL-02841	ELL	4.917050	-68.732528	-99.99	LMC134.2.29713	LMC531.27.58243	-99.99	19.080	19.209	0.129	1.31647270	7001.10860	0.915	0.214	
OGLE-LMC-ECL-02867	ELL	4.917886	-66.615000	-99.99	LMC131.5.13745	LMC533.21.7420	-99.99	18.207	18.117	-0.090	0.59681970	7000.49770	0.117	0.076	
OGLE-LMC-ECL-02880	ELL	4.918492	-69.340944	-99.99	LMC135.2.8821	LMC531.10.52140	-99.99	15.975	17.433	1.458	124.04203660	7093.38560	0.168	0.110	
OGLE-LMC-ECL-02934	ELL	4.922236	-67.260472	-99.99	LMC132.4.566	LMC533.04.8958	-99.99	17.516	17.844	0.328	6.17046690	7003.66300	0.148	0.115	
OGLE-LMC-ECL-03196	ELL	4.932539	-67.249667	-99.99	LMC132.4.58	LMC533.03.26060	-99.99	15.356	15.174	-0.182	2.64146300	7001.15730	0.122	0.066	
OGLE-LMC-ECL-03207	ELL	4.933144	-67.153167	-99.99	LMC131.1.902	-99.99	-99.99	17.814	17.743	-0.071	0.54497580	7000.27050	0.124	0.072	
OGLE-LMC-ECL-03480	ELL	4.944414	-68.739750	-99.99	LMC134.2.16682	-99.99	-99.99	16.942	17.771	0.829	44.77018710	7015.23540	0.074	0.069	
OGLE-LMC-ECL-03487	ELL	4.944656	-67.682472	-99.99	LMC132.1.15191	LMC532.27.19025	-99.99	17.561	18.065	0.504	0.96927910	7000.75050	0.120	0.077	
OGLE-LMC-ECL-03512	ELL	4.945353	-69.571028	-99.99	LMC128.5.31659	LMC531.10.24	-99.99	15.559	17.093	1.534	271.42901220	7186.53220	0.054	0.035	
OGLE-LMC-ECL-03515	ELL	4.945397	-67.979556	-99.99	LMC133.3.23766	LMC532.19.25321	-99.99	16.728	16.714	-0.014	5.42866710	7002.47090	0.030	0.025	
OGLE-LMC-ECL-03637	ELL	4.950972	-68.333167	-99.99	LMC133.1.26857	LMC532.10.22112	-99.99	17.675	17.714	0.039	0.77487350	7000.72930	0.138	0.091	
OGLE-LMC-ECL-03755	ELL	4.954883	-69.766556	-99.99	LMC128.6.5935	LMC531.01.38282	-99.99	16.908	16.854	-0.054	1.56390500	7000.55260	0.045	0.043	
OGLE-LMC-ECL-03864	ELL	4.959447	-67.485639	-99.99	LMC132.2.15624	LMC532.27.14187	-99.99	16.395	16.333	-0.062	26.67900700	7005.21700	0.020	0.019	
OGLE-LMC-ECL-03923	ELL	4.961797	-68.218556	-99.99	LMC125.7.17	LMC532.10.11247	-99.99	15.239	16.572	1.333	123.97478590	7062.41750	0.114	0.107	
OGLE-LMC-ECL-04349	ELL	4.980706	-69.905861	-99.99	LMC128.7.39066	-99.99	-99.99	16.692	17.958	1.266	88.20347430	7083.83290	0.059	0.046	
OGLE-LMC-ECL-04811	ELL	5.002989	-69.116639	LMC_SC15_24150	LMC127.3.42857	LMC531.17.17020	-99.99	15.758	17.077	1.319	129.59327900	7041.33880	0.156	0.110	
OGLE-LMC-ECL-04824	ELL	5.003544	-69.452694	-99.99	LMC127.1.31558	LMC531.08.7691	-99.99	18.133	19.288	1.155	152.45520810	7025.20520	0.084	0.072	
OGLE-LMC-ECL-04858	ELL	5.005044	-66.684556	-99.99	LMC123.5.14577	LMC533.18.7800	-99.99	17.912	17.929	0.017	2.15724470	7000.47370	0.087	0.085	
OGLE-LMC-ECL-05347	ELL	5.027919	-68.644639	-99.99	LMC126.3.8382	LMC510.23.129	-99.99	15.043	-99.99	-99.99	320.04719440	7004.70160	0.095	0.081	
OGLE-LMC-ECL-05349	ELL	5.028003	-68.364111	-99.99	LMC125.1.6158	-99.99	-99.99	16.180	16.871	0.691	0.41822120	7000.07660	0.122	0.117	
OGLE-LMC-ECL-05863	ELL	5.048744	-68.528500	-99.99	LMC126.3.58648	LMC510.23.36207	-99.99	16.487	18.166	1.679	178.33601070	7016.66600	0.091	0.044	
OGLE-LMC-ECL-06315	ELL	5.065489	-66.650806	-99.99	LMC123.4.15417	LMC512.06.18178	-99.99	17.721	18.776	1.055	18.79545440	7011.42220	0.121	0.102	
OGLE-LMC-ECL-06781	ELL	5.083017	-67.680194	-99.99	LMC116.8.335	LMC511.13.556	-99.99	16.794	16.655	-0.139	0.85477910	7000.55560	0.144	0.122	
OGLE-LMC-ECL-07131	ELL	5.096081	-69.201806	-99.99	LMC119.6.41548	LMC510.04.6178	-99.99	17.944	17.958	0.014	0.55349040	7000.44120	0.172	0.097	
OGLE-LMC-ECL-07205	ELL	5.098767	-69.542222	-99.99	LMC119.8.32819	LMC509.29.2375	-99.99	17.580	18.602	1.022	17.35211410	7014.09940	0.133	0.133	
OGLE-LMC-ECL-07334	ELL	5.102653	-69.309139	-99.99	LMC119.2.51020	LMC510.04.966	-99.99	17.398	17.367	-0.031	1.24766470	7000.60160	0.069	0.030	
OGLE-LMC-ECL-07364	ELL	5.103647	-69.974833	LMC_SC12_61197	LMC120.2.191	LMC509.11.29726	-99.99	16.897	16.974	0.077	5.81845450	7003.78620	0.057	0.029	
OGLE-LMC-ECL-07389	ELL	5.104689	-71.249083	-99.99	LMC122.1.59	LMC508.11.12166	-99.99	15.726	17.177	1.451	300.70189040	7126.41790	0.064	0.037	
OGLE-LMC-ECL-07633	ELL	5.114114	-70.212111	-99.99	LMC121.4.8229	LMC509.11.449	-99.99	17.229	18.341	1.112	31.60120840	7014.49510	0.094	0.087	
OGLE-LMC-ECL-07642	ELL	5.114439	-66.894139	-99.99	LMC115.7.15200	LMC511.29.18904	-99.99	16.437	16.425	-0.012	7.26101470	7005.09440	0.062	0.060	
OGLE-LMC-ECL-07671	ELL	5.115683	-69.138139	-99.99	LMC119.3.70722	LMC510.03.61538	-99.99	18.717	19.310	0.593	11.09380630	7005.83250	0.243	0.172	
OGLE-LMC-ECL-07734	ELL	5.117964	-70.974167	-99.99	LMC122.3.18421	LMC508.20.16039	-99.99	17.569	18.808	1.239	28.71899950	7013.67080	0.115	0.103	
OGLE-LMC-ECL-07738	ELL	5.118042	-69.011500	-99.99	LMC119.4.67069	-99.99	-99.99	18.306	19.451	1.145	13.27257830	7001.42290	0.178	0.133	
OGLE-LMC-ECL-07801	ELL	5.120222	-68.871889	-99.99	LMC118.1.60253	LMC510.11.5995	-99.99	17.967	18.008	0.041	1.03841710	7000.70110	0.188	0.127	
OGLE-LMC-ECL-07885	ELL	5.123192	-70.162000	-99.99	LMC121.4.46803	LMC509.11.93	-99.99	15.461	15.606	0.145	10.35564200	7000.33670	0.024	0.022	
OGLE-LMC-ECL-07948	ELL	5.125600	-67.630278	-99.99	LMC116.1.563	LMC511.11.603	-99.99	17.325	18.416	1.091	70.88820400	7049.59220	0.134	0.128	
OGLE-LMC-ECL-07997	ELL	5.127608	-67.673417	-99.99	LMC116.1.258	LMC511.11.233	-99.99	16.541	16.461	-0.080	0.90951100	7000.31190	0.141	0.113	
OGLE-LMC-ECL-08082	ELL	5.131131	-68.231472	-99.99	LMC117.1.46027	LMC510.28.1265	-99.99	17.627	18.200	0.573	19.13866090	7018.70250	0.106	0.092	
OGLE-LMC-ECL-08213	ELL	5.136222	-70.401833	-99.99	LMC121.3.22738	LMC509.02.318	-99.99	15.593	17.118	1.525	132.36707910	7097.46960	0.195	0.105	
OGLE-LMC-ECL-08306	ELL	5.140764	-69.199972	-99.99	LMC119.3.27578	LMC510.03.285	-99.99	15.487	15.457	-0.030	4.06966400	7002.83230	0.075	0.010	
OGLE-LMC-ECL-08519	ELL	5.148925	-70.345806	-99.99	LMC113.6.34610	LMC509.02.27673	-99.99	17.219	17.619	0.400	9.76825370	7005.20180	0.105	0.084	
OGLE-LMC-ECL-08577	ELL	5.151389	-70.126056	-99.99	LMC112.8.159	LMC509.10.776	-99.99	17.222	17.240	0.018	1.87670270	7000.60680	0.150	0.084	
OGLE-LMC-ECL-08606	ELL	5.152431	-69.526528	-99.99	LMC119.1.36390	LMC509.27.1123	-99.99	17.119	17.065	-0.054	1.52721520	7000.39410	0.112	0.049	
OGLE-LMC-ECL-08662	ELL	5.155003	-69.730028	-99.99	LMC112.6.45729	LMC509.19.37512	-99.99	16.474	-99.99	-99.99	42.72690940	7029.44210	0.164	0.112	
OGLE-LMC-ECL-08743	ELL	5.157647	-70.107500	-99.99	LMC112.8.100	LMC509.10.360	-99.99	15.974	16.510	0.536	16.63636570	7006.20060	0.144	0.101	
OGLE-LMC-ECL-09066	ELL	5.170639	-70.542250	-99.99	LMC113.7.8719	LMC508.26.25616	-99.99	17.119	17.171	0.052	3.44466630	7000.62230	0.139	0.085	
OGLE-LMC-ECL-09342	ELL	5.181658	-70.557278	-99.99	LMC113.7.16278	LMC502.16.39736	-99.99	16.104	16.097	-0.007	3.64095270	7000.22700	0.143	0.071	
OGLE-LMC-ECL-09625	ELL	5.194800	-68.789528	-99.99	LMC110.7.22306	LMC510.09.58063	-99.99	17.812	17.772	-0.040	14.13236630	7000.81030	0.116	0.109	
OGLE-LMC-ECL-10063	ELL	5.214400	-68.288278	-99.99	LMC109.8.41332	LMC504.16.7531	-99.99	15.659	17.181	1.522	86.17138770	7072.82430	0.149	0.079	
OGLE-LMC-ECL-10748	ELL	5.241833	-68.712111	-99.99	LMC110.2.53505	LMC503.32.32179	-99.99	16.633	16.606	-0.027	55.49970390	7046.39270	0.050	0.049	
OGLE-LMC-ECL-10823	ELL	5.245214	-68.896389	-99.99	LMC110.1.21563	LMC503.32.10358	-99.99	16.968	16.897	-0.071	1.16450510	7000.12280	0.127	0.066	
OGLE-LMC-ECL-10907	ELL	5.248497	-68.950667	-99.99	LMC110.1.22692	LMC503.31.44665	-99.99	18.306	18.414	0.108	1.83921400	7000.23930	0.112	0.077	
OGLE-LMC-ECL-11028	ELL	5.253122	-69.933333	-99.99	LMC112.2.34357	LMC502.31.53296	-99.99	18.023	19.029	1.006	14.45377300	7005.66750	0.167	0.144	
OGLE-LMC-ECL-11740	ELL	5.283161	-69.005111	-99.99	LMC100.5.79356	LMC503.22.102943	-99.99	15.175	-99.99	-99.99	479.26435750	7083.58870	0.286	0.110	
